section_cn,title_cn,others,section,index,title,src,authur,demo_src
寻路算法,RVO和ORCA：它们到底是如何工作的,,Movement and Pathfinding,19,RVO and ORCA: How They Really Work,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter19_RVO_and_ORCA_How_They_Really_Work.pdf,Ben Sunshine-Hill,
寻路算法,平滑路径的优化,,Movement and Pathfinding,20,Optimization for Smooth Paths,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter20_Optimization_for_Smooth_Paths.pdf,Mark Langerak,http://www.gameaipro.com/code/GameAIPro3_Ch20.zip
寻路算法,使用稀疏体素八度的三维飞行导航,,Movement and Pathfinding,21,3D Flight Navigation Using Sparse Voxel Octrees,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter21_3D_Flight_Navigation_Using_Sparse_Voxel_Octrees.pdf,Daniel Brewer,
寻路算法,使用目标边界的更快A*,,Movement and Pathfinding,22,Faster A* with Goal Bounding,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter22_Faster_A_Star_with_Goal_Bounding.pdf,Steve Rabin and Nathan R. Sturtevant,
寻路算法,统一网格上更快的Dijkstra搜索,,Movement and Pathfinding,23,Faster Dijkstra Search on Uniform Cost Grids,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter23_Faster_Dijkstra_Search_on_Uniform_Cost_Grids.pdf,Steve Rabin and Nathan R. Sturtevant,
策略,在重要的地方出现： 告知Paragon机器人该去哪里,,Tactics and Strategy,24,Being Where It Counts: Telling Paragon Bots Where to Go,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter24_Being_Where_It_Counts_Telling_Paragon_Bots_Where_to_Go.pdf,Mieszko Zieliński,
策略,实时战略游戏的战斗结果预测,,Tactics and Strategy,25,Combat Outcome Prediction for Real-Time Strategy Games,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter25_Combat_Outcome_Prediction_for_Real-Time_Strategy_Games.pdf,"Marius Stanescu, Nicolas A. Barriga, and Michael Buro",
策略,有效的自动生成空间查询指南,,Tactics and Strategy,26,Guide to Effective Auto-Generated Spatial Queries,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter26_Guide_to_Effective_Auto-Generated_Spatial_Queries.pdf,Eric Johnson,
策略,时间在时空推理中的作用： 来自塔防的三个例子,,Tactics and Strategy,27,The Role of Time in Spatio-Temporal Reasoning: Three Examples from Tower Defense,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter27_The_Role_of_Time_in_Spatio-Temporal_Reasoning.pdf,Baylor Wetzel and Kyle Anderson,
策略,在战略和战术游戏中使用蒙特卡洛树搜索时的陷阱和解决方案,,Tactics and Strategy,28,Pitfalls and Solutions When Using Monte-Carlo Tree Search for Strategy and Tactical Games,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter28_Pitfalls_and_Solutions_When_Using_Monte_Carlo_Tree_Search_for_Strategy_and_Tactical_Games.pdf,Gijs-Jan Roelofs,
策略,Petri网和AI仲裁,,Tactics and Strategy,29,Petri Nets and AI Arbitration,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter29_Petri_Nets_and_AI_Arbitration.pdf,Sergio Ocio Barriales,
策略,棱镜中的分层组合搜索,,Tactics and Strategy,30,Hierarchical Portfolio Search in *Prismata*,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter30_Hierarchical_Portfolio_Search_in_Prismata.pdf,David Churchill and Michael Buro,
角色行为,龙腾世纪： 效用评分架构的行为决策系统,,Character Behavior,31,Behavior Decision System: *Dragon Age Inquisition's* Utility Scoring Architecture,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter31_Behavior_Decision_System_Dragon_Age_Inquisition%E2%80%99s_Utility_Scoring_Architecture.pdf,Sebastian Hanlon and Cody Watts,
角色行为,"""百灵鸟""： 锦囊妙计",,Character Behavior,32,*Paragon* Bots: A Bag of Tricks,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter32_Paragon_Bots_A_Bag_of_Tricks.pdf,Mieszko Zieliński,
角色行为,使用你的战斗AI准确性来平衡难度,,Character Behavior,33,Using Your Combat AI Accuracy to Balance Difficulty,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter33_Using_Your_Combat_AI_Accuracy_to_Balance_Difficulty.pdf,Sergio Ocio Barriales,
角色行为,1000个NPC的60FPS,,Character Behavior,34,1000 NPCs at 60 FPS,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter34_1000_NPCs_at_60_FPS.pdf,Robert Zubek,
角色行为,环境互动： 通过利用基于规则的AI提高可信度,,Character Behavior,35,Ambient Interactions: Improving Believability by Leveraging Rule-Based AI,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter35_Ambient_Interactions_Improving_Believability_by_Leveraging_Rule-Based_AI.pdf,Hendrik Skubch,
角色行为,随机语法： 不仅仅是为了文字,,Character Behavior,36,Stochastic Grammars: Not Just for Words!,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter36_Stochastic_Grammars_Not_Just_for_Words.pdf,Mike Lewis,http://www.gameaipro.com/code/GameAIPro3_Ch36.zip
角色行为,城市之声：模拟角色知识现象,,Character Behavior,37,Simulating Character Knowledge Phenomena in *Talk of the Town*,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter37_Simulating_Character_Knowledge_Phenomena_in_Talk_of_the_Town.pdf,James Ryan and Michael Mateas,
其他,使用基于标签的内容选择的程序层次和故事生成,,Odds and Ends,38,Procedural Level and Story Generation Using Tag-Based Content Selection,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter38_Procedural_Level_and_Story_Generation_Using_Tag-Based_Content_Selection.pdf,Jurie Horneman,
其他,游戏中的推荐系统,,Odds and Ends,39,Recommendation Systems in Games,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter39_Recommendation_Systems_in_Games.pdf,Ben G. Weber,
其他,复古随机数生成器,,Odds and Ends,40,Vintage Random Number Generators,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter40_Vintage_Random_Number_Generators.pdf,Éric Jacopin,http://www.gameaipro.com/code/GameAIPro3_Ch40.zip
其他,利用可信度排序实现极高效的数据压缩,,Odds and Ends,41,Leveraging Plausibility Orderings to Achieve Extremely Efficient Data Compression,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter41_Leveraging_Plausibility_Orderings_to_Achieve_Extremely_Efficient_Data_Compression.pdf,Jeff Rollason,
其他,使用声明式编程构建自定义静态检查器,,Odds and Ends,42,Building Custom Static Checkers Using Declarative Programming,http://www.gameaipro.com/GameAIPro3/GameAIPro3_Chapter42_Building_Custom_Static_Checkers_Using_Declarative_Programming.pdf,"Ian Horswill, Robert Zubek, and Matthew Viglione",
