section_cn,title_cn,others,section,index,title,src,authur,demo_src
,,,Architecture,13,Hierarchical Plan-Space Planning for Multi-Unit Combat Maneuvers,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter13_Hierarchical_Plan-Space_Planning_for_Multi-unit_Combat_Maneuvers.pdf,William van der Sterren,
,,,Architecture,14,Phenomenal AI Level-of-Detail Control with the LOD Trader,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter14_Phenomenal_AI_Level-of-Detail_Control_with_the_LOD_Trader.pdf,Ben Sunshine-Hill,
,,,Architecture,15,Runtime Compiled C++ for Rapid AI Development,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter15_Runtime_Compiled_C++_for_Rapid_AI_Development.pdf,"Doug Binks, Matthew Jack, Will Wilson",
,,,Architecture,16,Plumbing the Forbidden Depths: Scripting and AI,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter16_Plumbing_the_Forbidden_Depths_Scripting_and_AI.pdf,Mike Lewis,
,,,Movement and Pathfinding,17,Pathfinding Architecture Optimizations,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter17_Pathfinding_Architecture_Optimizations.pdf,"Steve Rabin, Nathan Sturtevant",
,,,Movement and Pathfinding,18,Choosing a Search Space Representation,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter18_Choosing_a_Search_Space_Representation.pdf,Nathan R. Sturtevant,
,,,Movement and Pathfinding,19,Creating High-Order Navigation Meshes through Iterative Wavefront Edge Expansions,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter19_Creating_High-Order_Navigation_Meshes_through_Iterative_Wavefront_Edge_Expansions.pdf,"D. Hunter Hale, G. Michael Youngblood",
,,,Movement and Pathfinding,20,Precomputed Pathfinding for Large and Detailed Worlds on MMO Servers,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter20_Precomputed_Pathfinding_for_Large_and_Detailed_Worlds_on_MMO_Servers.pdf,"Fabien Gravot, Takanori Yokoyama, Youichiro Miyake",
,,,Movement and Pathfinding,21,Techniques for Formation Movement using Steering Circles,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter21_Techniques_for_Formation_Movement_Using_Steering_Circles.pdf,Stephen Bjore,http://www.gameaipro.com/code/GameAIPro_Ch21.zip
,,,Movement and Pathfinding,22,Collision Avoidance for Pre-Planned Locomotion,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter22_Collision_Avoidance_for_Preplanned_Locomotion.pdf,Bobby Anguelov,
,,,Movement and Pathfinding,23,Crowd Pathfinding and Steering using Flow Field Tiles,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter23_Crowd_Pathfinding_and_Steering_Using_Flow_Field_Tiles.pdf,Elijah Emerson,
,,,Movement and Pathfinding,24,Efficient Crowd Simulation for Mobile Games,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter24_Efficient_Crowd_Simulation_for_Mobile_Games.pdf,Graham Pentheny,http://www.gameaipro.com/code/GameAIPro_Ch24.zip
,,,Movement and Pathfinding,25,Animation-Driven Locomotion with Locomotion Planning,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter25_Animation-Driven_Locomotion_with_Locomotion_Planning.pdf,Jaroslaw Ciupinski,
,,,Strategy and Tactics,26,Tactical Position Selection: An Architecture and Query Language,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter26_Tactical_Position_Selection.pdf,Matthew Jack,
,,,Strategy and Tactics,27,Tactical Pathfinding on a NavMesh,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter27_Tactical_Pathfinding_on_a_NavMesh.pdf,Daniel Brewer,
,,,Strategy and Tactics,28,Beyond the Kung-Fu Circle: A Flexible System for Managing NPC Attacks,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter28_Beyond_the_Kung-Fu_Circle_A_Flexible_System_for_Managing_NPC_Attacks.pdf,Michael Dawe,
,,,Strategy and Tactics,29,Hierarchical AI for Multiplayer Bots in *Killzone 3*,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter29_Hierarchical_AI_for_Multiplayer_Bots_in_Killzone_3.pdf,"Remco Straatman, Tim Verweij, Alex Champandard, Robert Morcus, Hylke Kleve",
,,,Strategy and Tactics,30,Using Neural Networks to Control Agent Threat Response,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter30_Using_Neural_Networks_to_Control_Agent_Threat_Response.pdf,Michael Robbins,
,,,Agent Awareness and Knowledge Representation,31,Crytek's Target Tracks Perception System,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter31_Crytek's_Target_Tracks_Perception_System.pdf,Rich Welsh,
,,,Agent Awareness and Knowledge Representation,32,How to Catch a Ninja: NPC Awareness in a 2D Stealth Platformer,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter32_How_to_Catch_a_Ninja_NPC_Awareness_in_a_2D_Stealth_Platformer.pdf,Brook Miles,
,,,Agent Awareness and Knowledge Representation,33,Asking the Environment Smart Questions,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter33_Asking_the_Environment_Smart_Questions.pdf,Mieszko Zielinski,
,,,Agent Awareness and Knowledge Representation,34,A Simple and Robust Knowledge Representation System,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter34_A_Simple_and_Robust_Knowledge_Representation_System.pdf,Phil Carlisle,
,,,Agent Awareness and Knowledge Representation,35,A Simple and Practical Social Dynamics System,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter35_A_Simple_and_Practical_Social_Dynamics_System.pdf,Phil Carlisle,
,,,Agent Awareness and Knowledge Representation,36,Breathing Life into Your Background Characters,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter36_Breathing_Life_into_Your_Background_Characters.pdf,"David ""Rez"" Graham",http://www.gameaipro.com/code/GameAIPro_Ch36.zip
,,,Agent Awareness and Knowledge Representation,37,Alibi Generation: Fooling All the Players All the Time,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter37_Alibi_Generation_Fooling_All_the_Players_All_the_Time.pdf,Ben Sunshine-Hill,
,,,Racing,38,An Architecture Overview for AI in Racing Games,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter38_An_Architecture_Overview_for_AI_in_Racing_Games.pdf,"Simon Tomlinson, Nic Melder",
,,,Racing,39,Representing and Driving a Race Track for AI Controlled Vehicles,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter39_Representing_and_Driving_a_Race_Track_for_AI_Controlled_Vehicles.pdf,"Simon Tomlinson, Nic Melder",
,,,Racing,40,Racing Vehicle Control Systems using PID Controllers,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter40_Racing_Vehicle_Control_Systems_using_PID_Controllers.pdf,"Simon Tomlinson, Nic Melder",
,,,Racing,41,The Heat Vision System for Racing AI: A Novel Way to Determine Optimal Track Positioning,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter41_The_Heat_Vision_System_for_Racing_AI.pdf,Nic Melder,
,,,Racing,42,A Rubber-Banding System for Gameplay and Race Management,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter42_A_Rubber-Banding_System_for_Gameplay_and_Race_Management.pdf,Nic Melder,
,,,Odds and Ends,43,An Architecture for Character-Rich Social Simulation,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter43_An_Architecture_for_Character-Rich_Social_Simulation.pdf,"Michael Mateas, Josh McCoy",
,,,Odds and Ends,44,A Control-Based Architecture for Animal Behavior,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter44_A_Control-Based_Architecture_for_Animal_Behavior.pdf,Michael Ramsey,
,,,Odds and Ends,45,Introduction to GPGPU for AI,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter45_Introduction_to_GPGPU_for_AI.pdf,"Conan Bourke, Tomasz Bednarz",
,,,Odds and Ends,46,Creating Dynamic Soundscapes using an Artificial Sound Designer,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter46_Creating_Dynamic_Soundscapes_Using_an_Artificial_Sound_Designer.pdf,Simon Franco,
,,,Odds and Ends,47,Tips and Tricks for a Robust Third-Person Camera System,http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter47_Tips_and_Tricks_for_a_Robust_Third-Person_Camera_System.pdf,Eric Martel,
,,,Odds and Ends,48,"Implementing N-grams for Player Prediction, Procedural Generation, and Stylized AI",http://www.gameaipro.com/GameAIPro/GameAIPro_Chapter48_Implementing_N-Grams_for_Player_Prediction_Proceedural_Generation_and_Stylized_AI.pdf,Joseph Vasquez II,http://www.gameaipro.com/code/GameAIPro_Ch48.zip
